slice,bucket,feature,sample_count,coverage,precision_up,precision_down,balanced_precision,all_sample_accuracy,accepted_sample_accuracy,share_up_predictions,share_down_predictions,selected_t_up,selected_t_down,accepted_count,up_prediction_count,down_prediction_count,roc_auc,brier_score,log_loss
volatility_regime,low,rv_5,2740.0,0.5948905109489051,0.5031746031746032,0.5972972972972973,0.5502359502359502,0.5211678832116788,0.5245398773006135,0.7730061349693251,0.22699386503067484,0.5,0.46,1630.0,1260.0,370.0,0.526992637644046,0.24935175649461583,0.6918455465609611
volatility_regime,mid,rv_5,2740.0,0.6248175182481752,0.5475077881619937,0.530373831775701,0.5389408099688473,0.5197080291970803,0.5432242990654206,0.75,0.25,0.5,0.46,1712.0,1284.0,428.0,0.5352213028421023,0.24906717772583284,0.6912782596899817
volatility_regime,high,rv_5,2740.0,0.6467153284671533,0.5182215743440233,0.5875,0.5528607871720117,0.5288321167883212,0.5338600451467269,0.7742663656884876,0.22573363431151242,0.5,0.46,1772.0,1372.0,400.0,0.5413731657693068,0.2487731845222913,0.6906923129787699
trend_regime,low,ret_5,2740.0,0.7332116788321168,0.5161117078410311,0.564625850340136,0.5403687790905836,0.518978102189781,0.5196615231458437,0.926829268292683,0.07317073170731707,0.5,0.46,2009.0,1862.0,147.0,0.5281217964702297,0.24973857207291114,0.6926326895624049
trend_regime,mid,ret_5,2740.0,0.5923357664233576,0.5391666666666667,0.6193853427895981,0.5792760047281325,0.5397810218978102,0.5600739371534196,0.7393715341959335,0.26062846580406657,0.5,0.46,1623.0,1200.0,423.0,0.5593163440659678,0.24744835872194776,0.6880206021329193
trend_regime,high,ret_5,2740.0,0.5408759124087591,0.5152224824355972,0.5382165605095541,0.5267195214725757,0.5109489051094891,0.524966261808367,0.5762483130904184,0.42375168690958165,0.5,0.46,1482.0,854.0,628.0,0.5233205674937822,0.250005187947881,0.6931628275343881
volume_regime,low,relative_volume_5,2740.0,0.6237226277372263,0.505,0.56957928802589,0.537289644012945,0.5102189781021897,0.5166764189584553,0.8191925102399064,0.18080748976009361,0.5,0.46,1709.0,1400.0,309.0,0.5239052082800485,0.2496354951741142,0.6924206252026868
volume_regime,mid,relative_volume_5,2740.0,0.6083941605839416,0.5235602094240838,0.503030303030303,0.5132952562271934,0.5167883211678832,0.519496100779844,0.8020395920815837,0.19796040791841632,0.5,0.46,1667.0,1337.0,330.0,0.5177285010052696,0.2501285421111146,0.6934110640487091
volume_regime,high,relative_volume_5,2740.0,0.6343065693430657,0.5436810856658185,0.6100178890876565,0.5768494873767376,0.5427007299270074,0.5650172612197929,0.6783659378596087,0.32163406214039125,0.5,0.46,1738.0,1179.0,559.0,0.5615099664091939,0.24742808145751113,0.6879844299783164
session,asia,timestamp_hour,2738.0,0.614682249817385,0.52660406885759,0.5802469135802469,0.5534254912189185,0.527027027027027,0.5395127748068924,0.7593582887700535,0.24064171122994651,0.5,0.46,1683.0,1278.0,405.0,0.542266924564797,0.24861530097237047,0.6903724077645577
session,europe,timestamp_hour,2770.0,0.6176895306859206,0.53125,0.5513784461152882,0.5413142230576441,0.5259927797833935,0.5359438924605494,0.7668030391583869,0.2331969608416131,0.5,0.46,1711.0,1312.0,399.0,0.5325414141414142,0.249210183503575,0.6915634215490816
session,us,timestamp_hour,2712.0,0.6342182890855457,0.5113122171945701,0.5786802030456852,0.5449962101201277,0.5165929203539823,0.5267441860465116,0.7709302325581395,0.22906976744186047,0.5,0.46,1720.0,1326.0,394.0,0.5291336304215748,0.24936781083622955,0.6918826830896375
